elem,joint_s1_x,joint_s1_y,joint_s1_z,joint_s2_x,joint_s2_y,joint_s2_z,c0_s1_x,c0_s1_y,c0_s1_z,c0_s2_x,c0_s2_y,c0_s2_z,c1_s1_x,c1_s1_y,c1_s1_z,c1_s2_x,c1_s2_y,c1_s2_z,c2_s1_x,c2_s1_y,c2_s1_z,c2_s2_x,c2_s2_y,c2_s2_z
11,3.782874582504538e-18,0.0,0.14146468484209795,1.4755729675077042e-18,0.0,0.15047159881759925,-0.007749024918509588,-0.0,0.14505016507577786,-0.007749024918509587,-0.0,0.14903400570766387,0.0038745124592547923,-0.0067108524339879435,0.14505016507577786,0.003874512459254792,-0.006710852433987943,0.14903400570766387,0.0038745124592547975,0.006710852433987942,0.14505016507577786,0.003874512459254797,0.006710852433987941,0.14903400570766387
12,1.4755729675077042e-18,0.0,0.15047159881759925,1.5020320641308729e-18,0.0,0.15878537084427766,-0.00715268590071703,-0.0,0.1537811524949249,-0.007152685900717032,-0.0,0.15745841008772604,0.0035763429503585134,-0.006194407695311728,0.1537811524949249,0.0035763429503585143,-0.006194407695311729,0.15745841008772604,0.003576342950358518,0.0061944076953117265,0.1537811524949249,0.003576342950358519,0.006194407695311727,0.15745841008772604
13,1.5020320641308729e-18,0.0,0.15878537084427766,1.7406216685522243e-18,0.0,0.16645934280621524,-0.0066022391374831535,-0.0,0.16184023234935932,-0.006602239137483154,-0.0,0.1652345005074739,0.0033011195687415755,-0.005717706814920272,0.16184023234935932,0.003301119568741576,-0.005717706814920273,0.1652345005074739,0.00330111956874158,0.0057177068149202705,0.16184023234935932,0.0033011195687415802,0.005717706814920271,0.1652345005074739
14,1.7406216685522243e-18,0.0,0.16645934280621524,2.2111362962914913e-18,0.0,0.17354275157465757,-0.006094152914521886,-0.0,0.16927911239604432,-0.006094152914521886,-0.0,0.1724121690390559,0.003047076457260942,-0.005277691238522931,0.16927911239604432,0.003047076457260942,-0.005277691238522931,0.1724121690390559,0.003047076457260946,0.005277691238522929,0.16927911239604432,0.003047076457260946,0.005277691238522929,0.1724121690390559
15,2.2111362962914913e-18,0.0,0.17354275157465757,2.6362376644240558e-18,0.0,0.18008104491606003,-0.005625167306456166,-0.0,0.17614552113605939,-0.0056251673064561655,-0.0,0.17903746822776226,0.002812583653228082,-0.004871537787928725,0.17614552113605939,0.0028125836532280814,-0.0048715377879287244,0.17903746822776226,0.0028125836532280858,0.004871537787928724,0.17614552113605939,0.0028125836532280853,0.004871537787928723,0.17903746822776226
16,2.6362376644240558e-18,0.0,0.18008104491606003,-6.416116906433889e-19,0.0,0.18611617308890838,-0.0051922732608533214,-0.0,0.18248351404481264,-0.005192273260853323,-0.0,0.18515290656915895,0.0025961366304266594,-0.004496640547289642,0.18248351404481264,0.0025961366304266603,-0.004496640547289644,0.18515290656915895,0.002596136630426663,0.004496640547289641,0.18248351404481264,0.0025961366304266638,0.004496640547289642,0.18515290656915895
17,-6.416116906433889e-19,0.0,0.18611617308890838,-2.0746133349498434e-18,0.0,0.19168685800022434,-0.004792693291883064,-0.0,0.1883337562358009,-0.004792693291883065,-0.0,0.19079772124729083,0.0023963466459415313,-0.004150594143318001,0.1883337562358009,0.0023963466459415318,-0.004150594143318002,0.19079772124729083,0.0023963466459415344,0.004150594143318,0.1883337562358009,0.002396346645941535,0.004150594143318001,0.19079772124729083
18,-2.0746133349498434e-18,0.0,0.19168685800022434,-2.9744859340712458e-18,0.0,0.19682884164868708,-0.004423863659726942,-0.0,0.19373378337151304,-0.004423863659726942,-0.0,0.19600812988386546,0.00221193182986347,-0.0038311783122023293,0.19373378337151304,0.00221193182986347,-0.0038311783122023293,0.19600812988386546,0.002211931829863473,0.0038311783122023284,0.19373378337151304,0.002211931829863473,0.0038311783122023284,0.19600812988386546
19,-2.9744859340712458e-18,0.0,0.19682884164868708,-2.7067137004467522e-18,0.0,0.2015751154484042,-0.0040834179214007905,-0.0,0.1987182424955039,-0.004083417921400791,-0.0,0.20081756291366265,0.0020417089607003944,-0.003536343654201733,0.1987182424955039,0.002041708960700395,-0.003536343654201734,0.20081756291366265,0.002041708960700397,0.0035363436542017322,0.1987182424955039,0.0020417089607003974,0.0035363436542017327,0.20081756291366265
20,-2.7067137004467522e-18,0.0,0.2015751154484042,-2.923350712197294e-18,0.0,0.20595613190469256,-0.003769171747450814,-0.0,0.20331911433083763,-0.0037691717474508135,-0.0,0.2052568780771103,0.001884585873725406,-0.0032641984845189894,0.20331911433083763,0.0018845858737254059,-0.003264198484518989,0.2052568780771103,0.0018845858737254087,0.0032641984845189886,0.20331911433083763,0.0018845858737254085,0.003264198484518988,0.2052568780771103
21,-2.923350712197294e-18,0.0,0.20595613190469256,0.0,0.0,0.21,-0.0034791089071059154,-0.0,0.20756591847118708,-0.003479108907105914,-0.0,0.2093545584062295,0.0017395544535529568,-0.0030129966960864376,0.20756591847118708,0.0017395544535529562,-0.0030129966960864363,0.2093545584062295,0.0017395544535529592,0.0030129966960864367,0.20756591847118708,0.0017395544535529586,0.003012996696086436,0.2093545584062295
